               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11173,            0.015121,            0.080535,            0.013514,                0.25,            0.017196,           0.0051588,             0.07278,            0.010817,            0.049741,              0.0991,              0.0001,              0.0001
                   1,             0.11264,            0.014462,            0.078343,            0.013889,                0.25,            0.017292,           0.0051875,            0.072152,             0.01091,            0.049556,            0.097299,          0.00029881,          0.00029881
                   2,             0.11108,            0.017044,            0.077234,              0.0125,                0.25,            0.014973,            0.004492,            0.070384,            0.011172,            0.049243,            0.095496,          0.00049604,          0.00049604
                   3,             0.10137,            0.016538,             0.07236,            0.022222,                 0.5,            0.032097,           0.0061335,            0.066759,            0.011649,             0.04883,            0.093692,          0.00069168,          0.00069168
                   4,            0.099064,            0.018229,            0.071883,                0.02,                 0.5,            0.036852,           0.0088039,            0.062651,            0.012203,            0.048356,            0.091886,          0.00088574,          0.00088574
                   5,            0.091224,            0.019633,            0.069518,            0.030423,                   1,            0.088839,             0.01303,            0.057086,            0.012815,            0.047577,            0.090078,           0.0010782,           0.0010782
                   6,            0.087746,            0.019795,            0.068783,            0.026263,                   1,            0.079728,            0.018854,            0.050827,            0.013416,            0.046752,            0.088269,           0.0012691,           0.0012691
                   7,            0.084846,            0.024559,            0.065058,            0.022357,                   1,            0.080007,            0.017872,            0.046283,            0.013781,             0.04562,            0.086458,           0.0014584,           0.0014584
                   8,            0.078566,            0.019437,            0.062104,            0.020539,                   1,             0.19219,             0.04057,            0.044601,            0.013931,            0.044924,            0.084646,           0.0016461,           0.0016461
                   9,            0.076553,            0.023107,            0.062898,            0.020142,                   1,             0.30041,            0.082466,            0.041394,            0.014107,            0.043849,            0.082832,           0.0018323,           0.0018323
                  10,            0.070747,            0.025265,            0.055751,            0.018772,                   1,             0.31155,            0.086779,            0.039278,             0.01424,            0.042849,            0.081017,           0.0020168,           0.0020168
                  11,             0.07036,            0.024814,            0.056165,            0.018042,                   1,             0.32001,            0.089692,            0.035874,             0.01464,            0.041751,              0.0792,           0.0021998,           0.0021998
                  12,            0.068863,            0.022561,            0.053854,            0.016621,                   1,              0.3175,              0.1204,            0.033672,            0.014681,            0.040436,            0.077381,           0.0023812,           0.0023812
                  13,            0.065882,            0.023505,            0.051307,            0.016803,                   1,             0.34178,            0.094182,            0.033352,            0.014438,             0.03933,            0.075561,            0.002561,            0.002561
                  14,            0.063954,            0.025922,            0.053028,            0.014953,                   1,             0.40964,             0.18452,            0.033633,            0.013921,            0.037985,            0.073739,           0.0027392,           0.0027392
                  15,            0.064047,            0.024695,            0.049045,            0.015147,                   1,              0.4965,             0.22141,            0.035127,            0.013184,            0.036517,            0.071916,           0.0029159,           0.0029159
                  16,            0.061365,            0.025095,            0.048754,            0.014362,                   1,             0.62125,             0.27495,            0.036489,            0.012573,            0.034881,            0.070091,           0.0030909,           0.0030909
                  17,            0.060604,            0.022407,            0.045909,            0.013436,                   1,              0.6965,             0.37319,            0.031342,            0.012336,            0.033011,            0.068264,           0.0032644,           0.0032644
                  18,            0.057147,            0.021045,            0.041795,              0.2565,                   1,             0.65143,             0.27534,            0.033771,            0.011414,             0.03112,            0.066436,           0.0034363,           0.0034363
